,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,2/19/2021,ARKQ,TESLA INC,TSLA,88160R101,522820.0,408479266.0,9.73
1,2/19/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,700452.0,238090639.32,5.67
2,2/19/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1787546.0,189640755.14,4.52
3,2/19/2021,ARKQ,DEERE & CO,DE,244199105,562999.0,185789670.0,4.43
4,2/19/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2501055.0,182552004.45,4.35
5,2/19/2021,ARKQ,TERADYNE INC,TER,880770102,1104230.0,157452155.7,3.75
6,2/19/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5092493.0,154047913.25,3.67
7,2/19/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,72020.0,151324102.8,3.61
8,2/19/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,2045445.0,135653912.4,3.23
9,2/19/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,689955.0,132188478.45,3.15
10,2/19/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3945202.0,123090302.4,2.93
11,2/19/2021,ARKQ,CATERPILLAR INC,CAT,149123101,517927.0,108718056.57,2.59
12,2/19/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,774010.0,105776206.6,2.52
13,2/19/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,7524877.0,104370043.99,2.49
14,2/19/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,172551.0,103023300.06,2.46
15,2/19/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2117955.0,100327528.35,2.39
16,2/19/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,294866.0,98903953.72,2.36
17,2/19/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,231213.0,93851668.83,2.24
18,2/19/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1448574.0,93273679.86,2.22
19,2/19/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,2620207.0,86362022.72,2.06
20,2/19/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,311948.0,83623900.36,1.99
