Date,High,Low,Open,Close,Volume,Adj Close
2000-01-24,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-01-25,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-01-26,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-01-27,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-01-28,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-01-31,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-02-01,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-02,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-03,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-04,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-07,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-08,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-09,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-10,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-11,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-14,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-15,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-16,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-17,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-18,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-21,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-22,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-23,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-24,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-02-25,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-02-28,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-02-29,69.75,69.75,69.75,69.75,0.0,44.64392852783203
2000-03-01,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-02,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-03,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-06,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-07,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-08,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-09,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-10,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-13,69.75,69.75,69.75,69.75,200.0,44.64392852783203
2000-03-14,69.75,69.75,69.75,69.75,200.0,44.64392852783203
