Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,21.375,20.25,21.0,21.0,26900.0,19.95326042175293
2000-01-04,20.125,19.0,19.75,19.75,34200.0,18.765562057495117
2000-01-05,19.5,18.5,19.375,19.375,60300.0,18.40926170349121
2000-01-06,19.875,18.625,19.0,19.0,31700.0,18.05295181274414
2000-01-07,19.5,18.5,19.25,19.25,31200.0,18.290489196777344
2000-01-10,19.875,18.375,19.203125,19.203125,47100.0,18.245946884155273
2000-01-11,19.875,19.0,19.5,19.5,42800.0,18.528032302856445
2000-01-12,21.5,19.75,21.0,21.0,34000.0,19.95326042175293
2000-01-13,22.0,19.875,19.875,19.875,59800.0,18.88433265686035
2000-01-14,21.0,20.25,20.25,20.25,29800.0,19.240644454956055
2000-01-18,21.25,20.0,20.75,20.75,107200.0,19.71571922302246
2000-01-19,20.75,19.75,20.375,20.375,124600.0,19.359411239624023
2000-01-20,20.75,19.875,20.453125,20.453125,61300.0,19.433643341064453
2000-01-21,21.0,20.0,20.625,20.625,119300.0,19.59695053100586
2000-01-24,21.0,20.125,20.375,20.375,69500.0,19.359411239624023
2000-01-25,21.25,19.75,21.09375,21.09375,63400.0,20.04233741760254
2000-01-26,21.5,20.75,20.75,20.75,23900.0,19.71571922302246
2000-01-27,22.25,21.25,21.875,21.875,48900.0,20.78464698791504
2000-01-28,23.5,22.0,23.0,23.0,38500.0,21.85356903076172
2000-01-31,23.65625,22.25,22.25,22.25,68300.0,21.140954971313477
2000-02-01,23.25,21.875,22.375,22.375,25900.0,21.259723663330078
2000-02-02,25.5,23.5,24.0,24.0,38100.0,22.803726196289062
2000-02-03,25.875,24.5,25.125,25.125,43800.0,23.872652053833008
2000-02-04,28.75,27.125,27.75,27.75,26800.0,26.36680793762207
2000-02-07,28.0,26.625,27.625,27.625,114300.0,26.248037338256836
2000-02-08,26.5,25.375,26.125,26.125,51300.0,24.822805404663086
2000-02-09,26.0,25.0,25.75,25.75,41200.0,24.466495513916016
2000-02-10,27.5,26.25,26.5,26.5,49100.0,25.17911148071289
